Date and Time,Seconds     ,Pressure (PSI)                ,Temperature (C)               ,
9/21/2016 12:00:00 PM ,  241200.000,                        11.291,                        10.322,
9/21/2016 12:15:00 PM ,  242100.000,                        11.291,                        10.322,
9/21/2016 12:30:00 PM ,  243000.000,                        11.288,                        10.270,
9/21/2016 12:45:00 PM ,  243900.000,                        11.286,                        10.219,
9/21/2016 1:00:00 PM  ,  244800.000,                        11.279,                        10.580,
9/21/2016 1:15:00 PM  ,  245700.000,                        11.283,                        10.528,
9/21/2016 1:30:00 PM  ,  246600.000,                        11.275,                        10.528,
9/21/2016 1:45:00 PM  ,  247500.000,                        11.271,                        10.528,
9/21/2016 2:00:00 PM  ,  248400.000,                        11.275,                        10.425,
9/21/2016 2:15:00 PM  ,  249300.000,                        11.273,                        10.322,
9/21/2016 2:30:00 PM  ,  250200.000,                        11.274,                        10.322,
9/21/2016 2:45:00 PM  ,  251100.000,                        11.274,                        10.322,
9/21/2016 3:00:00 PM  ,  252000.000,                        11.268,                        10.322,
9/21/2016 3:15:00 PM  ,  252900.000,                        11.273,                        10.322,
9/21/2016 3:30:00 PM  ,  253800.000,                        11.269,                        10.373,
9/21/2016 3:45:00 PM  ,  254700.000,                        11.272,                        10.425,
9/21/2016 4:00:00 PM  ,  255600.000,                        11.277,                        10.425,
9/21/2016 4:15:00 PM  ,  256500.000,                        11.268,                        10.477,
9/21/2016 4:30:00 PM  ,  257400.000,                        11.271,                        10.528,
9/21/2016 4:45:00 PM  ,  258300.000,                        11.270,                        10.477,
9/21/2016 5:00:00 PM  ,  259200.000,                        11.266,                        10.425,
9/21/2016 5:15:00 PM  ,  260100.000,                        11.266,                        10.425,
9/21/2016 5:30:00 PM  ,  261000.000,                        11.266,                        10.373,
9/21/2016 5:45:00 PM  ,  261900.000,                        11.271,                        10.322,
9/21/2016 6:00:00 PM  ,  262800.000,                        11.269,                        10.322,
9/21/2016 6:15:00 PM  ,  263700.000,                        11.269,                        10.322,
9/21/2016 6:30:00 PM  ,  264600.000,                        11.266,                        10.219,
9/21/2016 6:45:00 PM  ,  265500.000,                        11.271,                        10.219,
9/21/2016 7:00:00 PM  ,  266400.000,                        11.269,                        10.167,
9/21/2016 7:15:00 PM  ,  267300.000,                        11.268,                        10.115,
9/21/2016 7:30:00 PM  ,  268200.000,                        11.272,                        10.115,
9/21/2016 7:45:00 PM  ,  269100.000,                        11.270,                        10.115,
9/21/2016 8:00:00 PM  ,  270000.000,                        11.269,                        10.064,
9/21/2016 8:15:00 PM  ,  270900.000,                        11.269,                        10.012,
9/21/2016 8:30:00 PM  ,  271800.000,                        11.275,                        10.012,
9/21/2016 8:45:00 PM  ,  272700.000,                        11.273,                         9.960,
9/21/2016 9:00:00 PM  ,  273600.000,                        11.277,                         9.960,
9/21/2016 9:15:00 PM  ,  274500.000,                        11.274,                         9.909,
9/21/2016 9:30:00 PM  ,  275400.000,                        11.278,                         9.909,
9/21/2016 9:45:00 PM  ,  276300.000,                        11.273,                         9.909,
9/21/2016 10:00:00 PM ,  277200.000,                        11.270,                         9.857,
9/21/2016 10:15:00 PM ,  278100.000,                        11.274,                         9.857,
9/21/2016 10:30:00 PM ,  279000.000,                        11.277,                         9.857,
9/21/2016 10:45:00 PM ,  279900.000,                        11.276,                         9.805,
9/21/2016 11:00:00 PM ,  280800.000,                        11.279,                         9.805,
9/21/2016 11:15:00 PM ,  281700.000,                        11.276,                         9.805,
9/21/2016 11:30:00 PM ,  282600.000,                        11.277,                         9.805,
9/21/2016 11:45:00 PM ,  283500.000,                        11.276,                         9.754,
9/22/2016 12:00:00 AM ,  284400.000,                        11.276,                         9.754,
9/22/2016 12:15:00 AM ,  285300.000,                        11.279,                         9.754,
